engine,query,seconds,peak_rss_MB,result_rows
pandas,read_only,5.869,700.4,10000000
pandas,read_only,1.426,1000.4,10000000
pandas,read_only,2.272,947.9,10000000
polars,read_only,0.269,1047.2,10000000
polars,read_only,0.140,1047.3,10000000
polars,read_only,0.144,1047.3,10000000
polars_lazy,read_only,0.051,43.5,10000000
polars_lazy,read_only,0.047,43.1,10000000
polars_lazy,read_only,0.048,43.2,10000000
duckdb,read_only,0.125,39.7,1
duckdb,read_only,0.033,40.1,1
duckdb,read_only,0.033,39.9,1
pandas,groupby,2.289,730.8,32
pandas,groupby,2.473,794.6,32
pandas,groupby,1.510,877.5,32
polars,groupby,0.637,934.3,32
polars,groupby,0.711,917.8,32
polars,groupby,0.834,714.1,32
polars_lazy,groupby,0.590,817.2,32
polars_lazy,groupby,0.309,1031.7,32
polars_lazy,groupby,0.299,1022.9,32
duckdb,groupby,0.176,95.1,32
duckdb,groupby,0.119,97.0,32
duckdb,groupby,0.117,95.9,32
pandas,filter_agg,1.359,564.0,8
pandas,filter_agg,0.793,526.8,8
pandas,filter_agg,0.939,557.9,8
polars,filter_agg,0.104,575.8,8
polars,filter_agg,0.108,575.8,8
polars,filter_agg,0.117,575.0,8
polars_lazy,filter_agg,0.085,349.2,8
polars_lazy,filter_agg,0.076,342.3,8
polars_lazy,filter_agg,0.083,320.4,8
duckdb,filter_agg,0.076,90.8,8
duckdb,filter_agg,0.073,90.9,8
duckdb,filter_agg,0.072,91.2,8
pandas,join,4.189,809.5,8
pandas,join,3.609,877.3,8
pandas,join,3.998,924.7,8
polars,join,1.203,799.7,8
polars,join,0.662,1073.7,8
polars,join,0.651,1074.4,8
polars_lazy,join,0.277,1042.5,8
polars_lazy,join,0.422,940.8,8
polars_lazy,join,0.385,1003.1,8
duckdb,join,0.174,104.5,8
duckdb,join,0.106,108.2,8
duckdb,join,0.114,105.6,8
pandas,sort_topk,1.114,623.9,100
pandas,sort_topk,0.830,752.1,100
pandas,sort_topk,0.586,876.2,100
polars,sort_topk,0.119,480.9,100
polars,sort_topk,0.107,480.4,100
polars,sort_topk,0.157,481.2,100
polars_lazy,sort_topk,1.149,899.6,100
polars_lazy,sort_topk,0.681,1145.5,100
polars_lazy,sort_topk,0.861,1065.1,100
duckdb,sort_topk,0.090,102.3,100
duckdb,sort_topk,0.086,107.0,100
duckdb,sort_topk,0.072,103.2,100
