operation,C_order_ms,F_order_ms,ratio,note
iterate_rows,5.0,37.5,7.48x,C wins
iterate_cols,38.1,5.2,7.26x,F wins
transpose_view,0.25 us,-,-,zero copy
ascontiguousarray_of_T,43.6,-,-,copies 128 MB
matvec,1.18,1.97,1.67x,C=row-major
matvec_on_transposed_view,1.94,-,-,BLAS handles strides
einsum_matmul,9.2,-,-,naive einsum
einsum_optimize_True,0.3,-,-,-
operator_matmul,0.3,-,-,BLAS; einsum/BLAS=29x
float32_times_float32,3.6,-,-,result dtype float32
float32_times_python_float,2.6,-,-,result dtype float32
