algo,n,trial,nanoseconds
selection,1000,0,2626000
merge,1000,0,34000
search_x1000,1000,0,22000
selection,1000,1,1247000
merge,1000,1,34000
search_x1000,1000,1,23000
selection,1000,2,1859000
merge,1000,2,39000
search_x1000,1000,2,35000
selection,3000,0,11547000
merge,3000,0,146000
search_x1000,3000,0,44000
selection,3000,1,10780000
merge,3000,1,125000
search_x1000,3000,1,44000
selection,3000,2,11218000
merge,3000,2,94000
search_x1000,3000,2,27000
selection,10000,0,245850000
merge,10000,0,360000
search_x1000,10000,0,32000
selection,10000,1,110151000
merge,10000,1,807000
search_x1000,10000,1,50000
selection,10000,2,101052000
merge,10000,2,492000
search_x1000,10000,2,130000
selection,30000,0,1774444000
merge,30000,0,3979000
search_x1000,30000,0,50000
selection,30000,1,1177851000
merge,30000,1,1701000
search_x1000,30000,1,52000
selection,30000,2,912518000
merge,30000,2,1674000
search_x1000,30000,2,55000
merge,100000,0,5544000
search_x1000,100000,0,55000
merge,100000,1,6575000
search_x1000,100000,1,115000
merge,100000,2,6244000
search_x1000,100000,2,49000
merge,300000,0,19272000
search_x1000,300000,0,90000
merge,300000,1,20790000
search_x1000,300000,1,524000
merge,300000,2,20623000
search_x1000,300000,2,259000
merge,1000000,0,72747000
search_x1000,1000000,0,783000
merge,1000000,1,77288000
search_x1000,1000000,1,684000
merge,1000000,2,70320000
search_x1000,1000000,2,772000
