group,algo,n,ns_per_op,probes,ms,capacity,copies,mean_error,p99_error,bound,bytes
hashmap,chained_insert,1000,683.7,,,,,,,,
hashmap,open_insert,1000,562.4,,,,,,,,
hashmap,chained_get,1000,148.8,,,,,,,,
hashmap,open_get,1000,137.6,,,,,,,,
hashmap,dict_get,1000,14.0,,,,,,,,
hashmap,chained_insert,10000,740.9,,,,,,,,
hashmap,open_insert,10000,886.1,,,,,,,,
hashmap,chained_get,10000,196.9,,,,,,,,
hashmap,open_get,10000,148.8,,,,,,,,
hashmap,dict_get,10000,12.5,,,,,,,,
hashmap,chained_insert,100000,1577.3,,,,,,,,
hashmap,open_insert,100000,680.1,,,,,,,,
hashmap,chained_get,100000,308.6,,,,,,,,
hashmap,open_get,100000,138.4,,,,,,,,
hashmap,dict_get,100000,12.2,,,,,,,,
hashmap,chained_insert,300000,1634.7,,,,,,,,
hashmap,open_insert,300000,7106.5,,,,,,,,
hashmap,chained_get,300000,326.3,,,,,,,,
hashmap,open_get,300000,173.8,,,,,,,,
hashmap,dict_get,300000,14.3,,,,,,,,
load_factor,open_get,0.3,152.9,1.22,,,,,,,
load_factor,open_get,0.5,168.5,1.49,,,,,,,
load_factor,open_get,0.6,188.9,1.77,,,,,,,
load_factor,open_get,0.7,213.2,2.16,,,,,,,
load_factor,open_get,0.8,275.7,3.17,,,,,,,
load_factor,open_get,0.9,420.3,5.39,,,,,,,
heap,push_n,10000,,,1.11,,,,,,
heap,heapify,10000,,,0.59,,,,,,
heap,push_n,100000,,,9.85,,,,,,
heap,heapify,100000,,,5.55,,,,,,
heap,push_n,500000,,,51.53,,,,,,
heap,heapify,500000,,,32.6,,,,,,
crossover,list_in,1,12.3,,,,,,,,
crossover,set_in,1,11.3,,,,,,,,
crossover,list_in,2,15.4,,,,,,,,
crossover,set_in,2,18.6,,,,,,,,
crossover,list_in,3,19.5,,,,,,,,
crossover,set_in,3,13.6,,,,,,,,
crossover,list_in,4,21.1,,,,,,,,
crossover,set_in,4,14.0,,,,,,,,
crossover,list_in,8,32.4,,,,,,,,
crossover,set_in,8,14.5,,,,,,,,
crossover,list_in,16,55.8,,,,,,,,
crossover,set_in,16,14.0,,,,,,,,
crossover,list_in,32,92.2,,,,,,,,
crossover,set_in,32,13.5,,,,,,,,
crossover,list_in,64,144.0,,,,,,,,
crossover,set_in,64,13.3,,,,,,,,
dynarray,growth_1.125,200000,,,38.37,208621,1669250,,,,
dynarray,growth_1.5,200000,,,18.79,207382,414776,,,,
dynarray,growth_2.0,200000,,,16.87,262144,262143,,,,
dynarray,growth_4.0,200000,,,13.79,262144,87381,,,,
intmap,IntHashMap_get,200000,61.8,,,,,,,,
intmap,dict_get,200000,11.2,,,,,,,,
sketch,w512_d4,11999,,,,,,377.37,3751,1061.8,16384
sketch,w2048_d4,11999,,,,,,82.03,76,265.5,65536
sketch,w4096_d5,11999,,,,,,32.81,34,132.7,163840
sketch,w16384_d5,11999,,,,,,0.0,0,33.2,655360
